siteid,sitename,polgroup,cgroup_code,groupcode,timeslicecode,edate,ldate,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,m13,m14,m15,m16,m17,m18,m19,m20,m21,m22,m23,m24,m25,m26,m27,m28,m29,m30,totalnoplain,ncombo
6,Antrex,Credit-Humber-Don,D,1,I,1350,1400,8,115,261,0,2,0,0,0,0,15,10,0,0,0,0,2,0,0,0,0,0,0,0,0,338,0,1,0,2,0,746,9
123,Jackes,Credit-Humber-Don,D,1,II,1400,1450,3,1,30,1,2,1,11,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,1,0,3,1,0,0,3,1,60,13
139,Logan,Credit-Humber-Don,D,1,II,1400,1450,1,1,72,0,1,0,0,0,1,21,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,7
152,McGaw,Credit-Humber-Don,D,1,II,1400,1450,0,0,37,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,43,5
169,Penguilley,Credit-Humber-Don,D,1,II,1400,1450,0,8,26,0,3,0,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,1,0,55,7
185,Risebrough,Credit-Humber-Don,D,1,II,1400,1450,1,0,77,0,2,0,1,0,3,7,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,97,7
186,River,Credit-Humber-Don,D,1,II,1400,1450,5,26,50,14,9,0,0,2,9,13,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10,0,0,0,10,0,144,10
13,Baker,Credit-Humber-Don,D,1,III,1450,1500,4,12,76,2,12,0,17,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,134,8
29,BlackCreek,Credit-Humber-Don,D,1,III,1450,1500,20,93,225,0,8,0,26,5,12,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,3,0,380,10
31,BoyleAtkinson,Credit-Humber-Don,D,1,III,1450,1500,6,11,96,0,3,0,6,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,123,7
114,HiddenSprings,Credit-Humber-Don,D,1,III,1450,1500,3,3,103,0,0,0,9,0,0,25,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,7,0,3,0,154,8
118,Hope,Credit-Humber-Don,D,1,III,1450,1500,2,12,97,1,5,0,22,0,0,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,10,0,174,9
153,McNair,Credit-Humber-Don,D,1,III,1450,1500,32,13,393,3,5,0,41,0,2,31,3,0,0,0,1,0,0,0,0,0,0,0,0,1,8,0,4,0,1,0,506,13
164,OMG,Credit-Humber-Don,D,1,III,1450,1500,1,4,38,1,2,0,18,0,0,8,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,0,0,1,4,0,80,11
221,Walkington2,Credit-Humber-Don,D,1,III,1450,1500,6,14,61,5,0,0,8,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,100,8
61,Damiani,Credit-Humber-Don,D,1,IV,1500,1550,27,5,257,0,4,0,3,0,0,26,0,8,0,1,0,1,1,2,0,0,1,0,0,0,0,0,2,0,11,0,322,13
80,EmmersonSprings,Credit-Humber-Don,D,1,IV,1500,1550,22,4,119,0,2,1,9,0,0,3,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,2,0,143,10
124,JarrettLahmer,Credit-Humber-Don,D,1,IV,1500,1550,11,5,217,7,11,0,23,0,0,46,4,1,0,1,0,2,3,0,2,0,0,0,0,0,3,0,6,0,15,0,346,15
126,Keffer,Credit-Humber-Don,D,1,IV,1500,1550,86,105,4002,77,54,4,122,5,253,465,107,17,0,0,2,0,0,0,8,61,38,1,31,0,9,2,22,2,139,0,5526,22
167,Parsons,Credit-Humber-Don,D,1,IV,1500,1550,2,7,118,0,0,0,16,0,1,11,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,15,0,169,7
194,SeedBarker,Credit-Humber-Don,D,1,IV,1500,1550,209,7,308,0,0,0,71,0,0,7,0,0,0,0,0,0,0,0,0,2,9,0,1,0,0,6,0,0,0,1,412,9
233,Woodbridge,Credit-Humber-Don,D,1,IV,1500,1550,25,13,190,0,4,0,42,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,33,0,288,8
54,CliftonSprings,Finger Lakes,C,2,II,1400,1450,19,38,18,2,15,8,13,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,97,8
84,Farrell,Finger Lakes,C,2,II,1400,1450,5,71,24,0,9,2,3,0,1,2,7,0,0,0,0,0,0,0,0,10,5,0,4,0,6,0,5,0,0,0,149,13
86,Footer,Finger Lakes,C,2,III,1450,1500,97,405,38,0,51,0,0,0,2,1,1,0,0,1,0,0,0,0,0,1,6,1,3,0,1,0,2,0,2,0,515,14
132,Klinko,Finger Lakes,C,2,III,1450,1500,55,9,6,0,7,1,13,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,9
140,LongPoint,Finger Lakes,C,2,III,1450,1500,46,56,31,0,16,0,22,27,0,0,2,0,0,1,0,0,0,0,0,38,0,0,0,10,0,0,0,0,0,0,203,9
23,Belcher,Finger Lakes,C,2,IV,1500,1550,11,26,19,2,11,0,21,0,1,0,2,4,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,88,10
182,RichmondMills,Finger Lakes,C,2,IV,1500,1550,32,38,36,10,17,1,27,5,2,0,1,5,0,2,1,0,5,0,0,1,0,0,0,0,1,0,1,0,1,0,154,17
2,Adams,Finger Lakes,C,2,V,1550,1600,30,4,10,4,3,4,9,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,38,10
38,Cameron(NY),Finger Lakes,C,2,V,1550,1600,21,15,11,1,1,3,6,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,8
95,GenoaFort,Finger Lakes,C,2,V,1550,1600,24,12,17,0,3,0,2,0,1,0,7,6,5,2,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,62,11
57,Cornish,Finger Lakes,C,2,VI,1600,1650,63,60,24,1,2,1,3,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,94,9
74,DutchHollow,Finger Lakes,C,2,VI,1600,1650,84,36,48,1,7,6,12,1,0,1,4,2,1,5,0,0,0,0,0,0,1,0,0,0,0,0,0,2,3,0,130,15
