BR,TB,CG
0.05,tb2,jc
0.156,tb2,jc
0.159,tb2,jc
0.087,tb2,jc
0.325,tb2,jc
0.08,tb2,jc
0.052,tb2,jc
0.069,tb2,jc
0.036,tb2,jc
0.207,tb2,jc
0.556,tb2,jc
0.044,tb2,jc
0.073,tb2,jc
0.081,tb2,jc
0.118,tb2,jc
0.134,tb2,jc
0.533,tb2,jc
0.052,tb2,jc
0.101,tb2,jc
0.072,tb2,jc
0.065,tb2,jc
0.328,tb2,jc
0.165,tb2,jc
0.127,tb2,jc
0.532,tb2,jc
0.039,tb2,jc
0.151,tb2,jc
0.588,tb2,jc
0.105,tb2,jc
0.047,tb2,jc
0.036,tb2,jc
0.047,tb2,jc
0.054,tb2,jc
0.097,tb2,jc
0.077,tb2,jc
0.078,tb2,jc
0.051,tb2,jc
0.088,tb2,jc
0.102,tb2,jc
0.107,tb2,jc
0.154,tb2,jc
0.096,tb2,jc
0.125,tb2,jc
0.043,tb2,jc
0.66,tb2,jc
0.094,tb2,jc
0.13,tb2,jc
0.048,tb2,jc
0.111,tb2,jc
0.161,tb2,jc
0.05,tb2,jc
0.115,tb2,jc
0.051,tb2,jc
0.171,tb2,jc
0.06,tb2,jc
0.077,tb3,jc
0.078,tb3,jc
0.051,tb3,jc
0.088,tb3,jc
0.102,tb3,jc
0.107,tb3,jc
0.057,tb3,jc
0.088,tb3,jc
0.096,tb3,jc
0.059,tb3,jc
0.141,tb3,jc
0.147,tb3,jc
0.119,tb3,jc
0.154,tb3,jc
0.096,tb3,jc
0.125,tb3,jc
0.043,tb3,jc
0.66,tb3,jc
0.168,tb3,jc
0.076,tb3,jc
0.061,tb3,jc
0.058,tb3,jc
0.113,tb3,jc
0.079,tb3,jc
0.123,tb3,jc
0.094,tb3,jc
0.13,tb3,jc
0.048,tb3,jc
0.111,tb3,jc
0.12,tb3,jc
0.061,tb3,jc
0.057,tb3,jc
0.049,tb3,jc
0.077,tb3,jc
0.076,tb3,jc
0.1,tb3,jc
0.161,tb3,jc
0.05,tb3,jc
0.115,tb3,jc
0.11,tb3,jc
0.048,tb3,jc
0.036,tb3,jc
0.038,tb3,jc
0.045,tb3,jc
0.042,tb3,jc
0.069,tb3,jc
0.051,tb3,jc
0.171,tb3,jc
0.55,tb3,jc
0.05,tb3,jc
0.041,tb3,jc
0.041,tb3,jc
0.058,tb3,jc
0.053,tb3,jc
0.078,tb3,jc
0.06,tb3,jc
0.035,tb3,jc
0.073,tb3,jc
0.087,tb3,jc
0.102,tb3,jc
0.073,tb3,jc
0.074,tb3,jc
0.072,tb3,jc
0.18,tb3,jc
0.084,tb3,jc
0.074,tb3,jc
0.054,tb3,jc
0.09,tb3,jc
0.071,tb3,jc
0.102,tb3,jc
0.069,tb3,jc
0.059,tb3,jc
0.062,tb3,jc
0.07,tb3,jc
0.071,tb3,jc
0.086,tb3,jc
0.177,tb3,jc
0.123,tb3,jc
0.134,tb3,jc
0.174,tb3,jc
0.076,tb3,jc
0.765,tb3,jc
0.128,tb3,jc
0.14,tb3,jc
0.076,tb3,jc
0.081,tb3,jc
0.147,tb3,jc
0.076,tb3,jc
0.14,tb3,jc
0.092,tb3,jc
0.099,tb3,jc
0.179,tb4,en
0.148,tb4,en
0.192,tb4,en
0.058,tb4,en
0.196,tb4,en
0.106,tb4,en
0.801,tb4,en
0.067,tb4,en
0.207,tb4,en
0.238,tb4,en
0.073,tb4,en
0.185,tb4,en
0.124,tb4,en
0.116,tb4,en
0.08,tb4,en
0.878,tb4,en
0.067,tb4,en
0.191,tb4,en
0.156,tb4,en
0.124,tb4,en
0.083,tb4,en
0.08,tb4,en
0.255,tb4,en
0.195,tb4,en
0.165,tb4,en
0.103,tb4,en
0.056,tb4,en
0.089,tb4,en
0.06,tb4,en
0.134,tb4,en
0.154,tb4,en
0.218,tb4,en
0.097,tb4,en
0.106,tb4,en
0.131,tb4,en
0.068,tb4,en
0.207,tb5,en
0.238,tb5,en
0.073,tb5,en
0.185,tb5,en
0.124,tb5,en
0.116,tb5,en
0.08,tb5,en
0.12,tb5,en
0.15,tb5,en
0.05,tb5,en
0.164,tb5,en
0.878,tb5,en
0.067,tb5,en
0.191,tb5,en
0.156,tb5,en
0.124,tb5,en
0.083,tb5,en
0.23,tb5,en
0.158,tb5,en
0.06,tb5,en
0.779,tb5,en
0.08,tb5,en
0.255,tb5,en
0.195,tb5,en
0.165,tb5,en
0.103,tb5,en
0.244,tb5,en
0.154,tb5,en
0.066,tb5,en
0.813,tb5,en
0.056,tb5,en
0.089,tb5,en
0.06,tb5,en
0.134,tb5,en
0.079,tb5,en
0.052,tb5,en
0.088,tb5,en
0.088,tb5,en
0.154,tb5,en
0.218,tb5,en
0.097,tb5,en
0.176,tb5,en
0.236,tb5,en
0.071,tb5,en
0.217,tb5,en
0.106,tb5,en
0.131,tb5,en
0.182,tb5,en
0.099,tb5,en
0.109,tb5,en
0.229,tb5,en
0.068,tb5,en
0.102,tb5,en
0.258,tb5,en
0.049,tb5,en
0.123,tb5,en
0.13,tb5,en
0.073,tb5,en
0.757,tb5,en
0.13,tb5,en
0.136,tb5,en
0.123,tb5,en
0.257,tb5,en
0.058,tb5,en
0.154,tb5,en
0.107,tb5,en
0.089,tb1,ny
0.004,tb1,ny
0.02,tb1,ny
0.117,tb1,ny
0.11,tb1,ny
0.078,tb1,ny
0.636,tb1,ny
0.01,tb1,ny
0.016,tb1,ny
0.099,tb1,ny
0.099,tb1,ny
0.061,tb1,ny
0.1,tb1,ny
0.053,tb1,ny
0.013,tb1,ny
0.013,tb1,ny
0.017,tb1,ny
0.015,tb1,ny
0.02,tb1,ny
0.014,tb1,ny
0.009,tb1,ny
0.013,tb1,ny
0.75,tb1,ny
0.133,tb1,ny
0.48,tb1,ny
0.171,tb1,ny
0.549,tb1,ny
0.215,tb1,ny
0.089,tb2,ny
0.06,tb2,ny
0.153,tb2,ny
0.141,tb2,ny
0.006,tb2,ny
0.004,tb2,ny
0.004,tb2,ny
0.015,tb2,ny
0.078,tb2,ny
0.636,tb2,ny
0.057,tb2,ny
0.34,tb2,ny
0.022,tb2,ny
0.041,tb2,ny
0.032,tb2,ny
0.184,tb2,ny
0.066,tb2,ny
0.078,tb2,ny
0.012,tb2,ny
0.004,tb2,ny
0.007,tb2,ny
0.025,tb2,ny
0.061,tb2,ny
0.1,tb2,ny
0.034,tb2,ny
0.024,tb2,ny
0.023,tb2,ny
0.06,tb2,ny
0.026,tb2,ny
0.042,tb2,ny
0.051,tb2,ny
0.048,tb2,ny
0.001,tb2,ny
0.001,tb2,ny
0.014,tb2,ny
0.046,tb2,ny
0.07,tb2,ny
0.014,tb2,ny
0.01,tb2,ny
0.011,tb2,ny
0.041,tb2,ny
0.015,tb2,ny
0.602,tb2,ny
0.013,tb2,ny
0.023,tb2,ny
0.016,tb2,ny
0.025,tb2,ny
0.056,tb2,ny
0.082,tb2,ny
0.075,tb2,ny
0.082,tb2,ny
0.026,tb2,ny
0.055,tb2,ny
0.076,tb2,ny
0.01,tb2,ny
0.011,tb2,ny
0.006,tb2,ny
0.019,tb2,ny
0.061,tb2,ny
0.088,tb2,ny
0.052,tb2,ny
0.053,tb2,ny
0.022,tb2,ny
0.044,tb2,ny
0.049,tb2,ny
0.131,tb2,ny
0.092,tb2,ny
0.075,tb2,ny
0.009,tb2,ny
0.012,tb2,ny
0.079,tb2,ny
0.06,tb2,ny
0.056,tb2,ny
0.036,tb2,ny
0.036,tb2,ny
0.215,tb2,ny
0.042,tb2,ny
0.012,tb2,ny
0.017,tb2,ny
0.404,tb2,ny
0.098,tb2,ny
0.064,tb2,ny
0.017,tb2,ny
0.043,tb2,ny
0.056,tb2,ny
0.014,tb2,ny
0.013,tb2,ny
0.073,tb2,ny
0.087,tb2,ny
0.091,tb2,ny
0.034,tb2,ny
0.484,tb2,ny
0.016,tb2,ny
0.018,tb2,ny
0.051,tb2,ny
0.042,tb2,ny
0.04,tb2,ny
0.061,tb2,ny
0.05,tb2,ny
0.215,tb2,ny
0.064,tb2,ny
